navn,tlf
VIBORG INGENIØRERNE BRANDRÅDGIVNING APS,86624111
VJ-CONSULT V/VERNER JENSEN,98175061
WRB RÅDGIVENDE BYGNINGSKONSTRUKTØRER APS,40838335
WSP DANMARK A/S,99301200
ZVONIC,22757833
GS KONSULENT SERVICE.,27579107
REPAYTIO IVS,61657985
AALBORG STEN OG KRYSTALLER,81618540
ADNOVATION,70702102
ANNE KK V/ANNE KATRINE KALSGAARD NIELSEN,22942859
ANNO DOMINI V/JEAN SMITH BORGLUM,60214212
ART BY ME I/S,27633232
BAHNE - AALBORG SHOPPEN,38405008
BAHNE2 AALBORG,38405016
BRANDT HANSEN & CO V/JENS P HANSEN,40980865
BUKSEPIGEN APS AF 2015,98986515
BUTIQUE ROSENKRANTZ. I/S,28901832
BYGAARDBOE,27123413
COLIBRÍ,22534340
DAZZLE ME BY THE SEA/HUSET MØLLER/BISPESÆDET/GEVANTER V/TRINE THEILMANN MØLLER,20865200
DEN RØDE TRÅD AALBORG KONCEPTUDVIKLERE OG MARKEDSARRANGØRER APS,20781740
FLYING TIGER COPENHAGEN,88528000
GALLERI-GULDBORG.DK MARCOM V/CARSTEN GULDBORG NIELSEN,98104541
GAVEÆSKEN AALBORG IVS,20895501
GIPSYDOGS.COM,20650525
GLAS-DECO,20650525
GUFFIE HANDEL APS,20805090
HANDELSFIRMA RAYVEN V/ERIK DAMGAARD LAURSEN,61670578
HOS PIA HALS APS,21416268
ISHUSET,40987029
KLARUP ISENKRAM A/S,98318888
KLEM DESIGN,23384337
KOP & KANDE AALBORG STORCENTER,98189977
KOP OG KANDE,98178030
KRISTI HOLDING APS,26420000
LAKSHA - SRI LANKAN ART AND DESIGN,20676673
LANDMAND JAN LETH JENSEN,98272901
LOPPELOVESTORY_AALBORG,25310057
MAJA ÅLBORG APS,22585805
MIN FORETNING/V LOTTE DAM,27137767
MISTEL V/RITA STENDERUP,98187045
NORDCRAFT,40558184
RESTAURANT CARL FREDERIK V/VIVI GREGERSEN,98251001
SARAHS SALONER/HIMMELFISK/SARAH MONDRUP,28901872
SELSKABET AF 23-02-2021,98102303
SINNERUP AALBORG,36965370
SOMMERLIVET,21539770
STAKLADEN,98293511
STATE OF ART V/KIM GERMER,20818687
STIL STUDIO V/LISBETH HOLM,98103191
T. BONDE,28262328
TROLLHOUSE.DK,98315824
UDLEJNING V/ERIK C LARSEN,98249053
UNIQ MUSING,50652270
UNUM,50142209
JÆGEREN OG LYSTFISKEREN V/MORTEN REX FREDERIKSEN,98139400
AALBORG CENTRUM KIROPRAKTIK,53817481
AALBORG KIROPRAKTIK OG FYSIOTERAPI,98175050
KASH NØRRESUNDBY APS,24205292
KIROPRAKTISK KLINIK V/B RASMUSSEN,98114211
KIROPRAKTOR ALEX ALRØE,98124673
KIROPRAKTOR EIRIK VÅGSETHER,60586460
VEJGAARD KIROPRAKTISK KLINIK,98124311
3B KLOAKRENSNING A/S,98189980
A L SERVICE V/ALLAN LARSEN,98148086
A/S MORTENSEN & NYMARK,98318400
AALBORG KLOAKSERVICE APS,98381766
AUT. KLOAKMESTER A JENSEN,98353185
BANGS KLOAK OG ENTREPRENØR,53944060
BORGEN KLOAKSERVICE A/S,98144482
CHR. BÆKGAARD APS,98151010
DANSK MILJØ KLOAK V/FLEMMING STENSGÅRD POULSEN,29914006
ENTREPRENØR OG KLOAKMESTER PBP V/PER BØDKER PEDERSEN,98323584
ESBEN POULSEN VVS,98188451
FKSSLAMSON A/S,70221620
KAUFFMANN,40516138
KRASTRUP MASKINCENTRAL,98686050
LEIF M. JENSEN A/S,70108000
NORDKABEL A/S,98621445
NORVA24 AALBORG,75524322
PBJ KLOAK APS,42662474
RENSEANLÆG ØST,99319371
RENSEANLÆG VEST,99319371
S. P. JENSEN A/S,98382466
SYDSLAM A/S,70205141
VAARST-FJELLERAD PUMPESTATION I/S,20850440
VADUM ENTREPRENØRFORRETNING I/S V/LARS JENSEN/SØREN JENSEN,98269804
VESTRE HAVNEPROMENADE,99319371
=AJA I/S,22169056
AALBORG BEAUTY,41161804
AALBORG BEAUTY APS,25101025
ABOVESKINCARE,22646822
ÅLBORG MIDTBY,98131017
ALOEVERA V/CAMILLA ROSE,61720608
BEAUTYFORUM,26658435
BOTANICUS NORTH APS,26128944
BY ZAZA,40501525
COPENHAGEN BEAUTY APS,22429922
CURLYCARE I/S,30409020
GUTAALE SHOP,25176001
HEIDI DORFFS FOREVER LIVING PRODUCTS,60671921
HOUSE OF TREND,40537374
MADE DOWN UNDER V/L. TVED BERKE,40142801
MATAS 10022,98136311
MATAS 10065,98134200
MATAS 16071,98352250
MATAS 16829,98173262
MUMIN SHOP,25176001
MYCARE V/BØRGE HANSEN,93863352
NORDISKEAZ APS,93888006
PARFUMEPERFUME,52279002
SKINJOY,22716989
THE BODY SHOP ÅLBORG STORCENTER,98182687
AA GLOBAL IVS,40916859
AALBORG KUREREN IVS,25543615
AESTHETICS NORDIC,28607574
ALOEBEAUTY,22526110
ANAMARIA GHERDAN,30222773
APHRODITES ELYSIUM,61799552
BEAUTY & DECOR BY METTE,22788384
BEAUTY BY BÜTZAU,51510402
BEAUTY BY DAJANA,60447443
BEAUTY BY SAGAL,60162784
BEAUTY SKIN AALBORG,60865049
BELLO BEAUTY ROOM,31649199
BESTAGE INTERNATIONAL APS,23860998
BODY INSTITUTE V/MARIANNA CHRISTIANSEN,22935656
BOUTIQUE LILIAN V/LILIAN ANDERSEN,98126403
BUGGES BOUTIQUE,42753831
BY MICHELLE,50578086
BY SCHOU,52666440
BYHOEJSLETH,61284141
BYMARIAKRISTINA,28571228
BYMARKFOGED,53210637
BYREINAU,31520034
CARINA F V/CARINA FALBERG,25149976
CC.BEAUTY,26200276
CK1 APS,24638281
CLEOPATRA HUDPLEJEKLINIK V/MARYAM RAMEZANIGHODSIFARD,98122929
CLINIC ICONIC APS,22223532
CLINIC RIKKE V/DORIT LUNDSGAARD,98141204
CLINIQUE VIVA APS,40303118
CONTENT CUSTOMERS,22989940
CUTTING EDGE ART & COSMECEUTICAL,98294944
DITTE WORUP IVS,27219719
DYVEKE YOGA & PILATES,30706205
EWM,42578009
FANCY BEAUTY,22159460
FOREVER RØDHUS,98255119
FREDES VIPPER,50709651
FULL BEAUTY AALBORG,28192056
GITTE A - PERMANENT MAKEUP & HUDPLEJE,60706620
GREEN B,50352422
HARMONIE SPA BODY FACE APS,98161708
HASSERIS SKIN LOUNGE APS,29256574
HORDOVSKA NAILS DENMARK,91935298
HWIID VELVÆRE,22536212
HWIIDS VELVÆRE,22536212
JR NAILS V/JANNIE ROSTGAARD MYNDERUP CHRISTENSEN,20400090
KAMILASHES,50274351
KISURA APS,60522323
KLINIK L. D.,22800236
KLINIK PIRE,28121067
KLINIK SEIDELIN,41676843
KLINIKRUDE.DK APS AALBORG,31700007
KOSMETISK KLINIK V/ BIRGIT STYRBÆK SIMONSEN,51681662
KOSMETOLOG WJ,96210007
KRISTINA BRÆNDSTRUP HALDRUP,98383210
KROWN BEAUTÉ,60496084
LASH & BEAUTY AALBORG,25793456
LASH BY KIM,50321122
LASH BY MARY JOY,61697876
LASHES BY MATHILDE,51824205
LILJAS HUDPLEJE V/GITTE LILJA CHRISTIANSEN,26224827
LIV LOUNGE,53834110
LKM LASHES,41837222
LOOKZ & LOKOO I/S,28597351
M.S. KOSMETOLOG V/ANNE METTE STEVE KNOBBE,42224654
MADITTEN MEDICAL,22443808
MAI BEAUTY,60732218
MAKE IT CONSULTING APS,22273569
MARIA MADSEN,28714616
MEKINI,27625606
MIA HAUSTED,26236912
MOON ON THE MOVE,42224190
NAIL2YOU V/METTE OLESEN,31429252
NAILFUSION4YOU,22555468
NAILS BY SANNE,30567144
NAJA BRUUN,22778890
NATHLASHES,21141409
NEUSKIN APS,60166474
NØRRESUNDBY BEAUTY STUDIO,42345655
OH MY GIRL IVS,40434589
PATCHARAPA MASSAGE,20750978
PERNILLES BEAUTY CONSULT,20824457
PHINE.LASHES,27575390
PIA LILLELUND,60502934
PRETTYPLEASE,53308288
PRIVATKLINIK NOMO AALBORG APS,31650302
ROSA & SOPHIA APS,51787831
ROYAL BEAUTY,82829282
RR STUDIO,22180488
RUBIN RELAX & WELLNESS,50565842
SAPAPE SPA,93922294
SCANDIC NAILS AND COSMETIC FRIIS,22822328
SCANDIC NAILS AND COSMETIC SKALBORG,22822328
SCANDIC NAILS FRIIS APS,22822328
SCANDIC NAILS SKALBORG APS,22822328
SHELICIOUS,29926615
SHINE AND BEAUTY IVS,91539110
SIMPLY LASHES,60169491
SKIN OF FASHION,24638281
SKINDELIGHT V/MARIANNE AHRENT KASTRUP,98163440
SKØNHEDOGVELVÆRE.DK,22599492
SKØNHEDSPLETTEN,28603920
STUDIO A AALBORG,22266620
STUDIO NC,25730331
TAMARA NAJAFI - EXTENDED BEAUTY,22159180
THAI ME UP IVS,42201492
TIP TOP NEGLE,98142004
TREATSALES,53352747
VIDA,98110204
VIPPEUNIVERSET,20985006
WINGSBYKIKI,41921998
BAD EKSPERTEN,22818001
BADEKSPERTEN V/SØREN DYBDAL HANSEN,98131600
HTH KØKKENFORUM ÅLBORG,98188100
INVITA & UNO FORM AALBORG A/S,98187733
INVITA KØKKENCENTER AALBORG I/S,98187733
KVIK AALBORG A/S,70212901
OK KØKKENRENOVERING HIMMERLAND,24989811
OK KØKKENRENOVERING V/ OLE UHRENHOLT JENSEN,30129400
TVIS KØKKENER - AALBORG V/ANDERS AGERHOLM,42901105
UNO FORM AALBORG,72100165
VORDINGBORG KØKKENET A/S,96341500
AALBORG DRIVE,31710202
AALBORG TRAFIKSKOLE,40749209
ABJ KØRESKOLE,42408741
ABJ KØRESKOLE APS,42408741
AGD APS,22230687
ALICE-KØRESKOLE V/ALICE REBSDORF,26822524
ASCOT HOLDING APS,98671326
ASCOT KØRESKOLE APS,23628438
BAK BILSKOLE,29469916
BOGNER´S KØRESKOLE,30205059
BORUPS KØRESKOLE V/LARS BORUP-JENSEN,98178556
CARINAS KØRESKOLE,30517269
CHRISTIAN KØRESKOLE,53622202
CHRISTINAS KØRESKOLE V/CHRISTINA KOCH MORTENSEN,42293902
DALLS KØRESKOLE,53771825
DAMKIER DRIVING V/SØREN DAMKIER,60244093
DANSK KØRE & FØRSTEHJÆLPS SKOLE V/JØRGEN GULDHAMMER,40784043
DEKRA AMU CENTER NORDJYLLAND (AFD. NØRRESUNDBY),98467888
DEKRA AMU CENTER NØRRESUNDBY,70606500
FREJLEV NY KØRESKOLE V/PER VESTERGAARD,98343594
FRIGEAR,60217181
HALSKØRESKOLE V/MARTIN MOSE,53156888
HEIDIS KØRESKOLE V/HEIDI MORELL MATHIASEN,98291151
HEINRICH NIELSENS KØRESKOLE V/ASGER HEINRICH NIELSEN,98137037
HENRIKS KØRESKOLE V/HENRIK RICHARD HANSEN,98170440
HOS TROELSENS APS,69136790
HOULBERGS  V/STEEN HOULBERG HANSEN,31609906
HR LARS CORTZ,40403355
J. KRONBORG,22584973
JYSK TRAFIKSKOLE A/S,20939305
KARI`S KØRESKOLE V/KARI-MAIKEN ERIKSEN,98311614
KENNETH SAND KØRESKOLE APS,98160350
KØR NU,26607405
KØREKLAR V/TOM TRAUMER,98120318
KØRESKOLE GINNERUP,21816626
KØRESKOLE V/ CARINA HANSEN,60441223
KØRESKOLE V/SVEND TORP,98174677
KØRESKOLECENTRET I/S V/ASGER HEINRICH NIELSEN & LENNART HEINRICH NIELSEN,98154466
KØRESKOLEN V/SØREN JENSEN,22302747
LANGES KØRESKOLE V/ JOHN REESE-LANGE,20681899
LINNÆS V/PER LINNÆS,27516051
MARTIN H. V/MARTIN HARRITSLEV NIELSEN,26206017
MIDTBYENS KØRESKOLE APS,40783555
MIDTBYENS KØRESKOLE NIBE APS,31191000
MIDTBYENS KØRESKOLE V/MICHAEL MØLLER,31191000
MOJODRIVE,20169866
MØLLERS KØRESKOLE,20136228
MYRHØJS KØRESKOLE V/JACOB MYRHØJ,40633070
NORD DRIVE,42725942
NYMANN V/LARS NYMANN,24769238
PETERS KØRESKOLE PETER WEDEL STORM,98297151
PIHLS KØRESKOLE V/KRISTIAN PIHL,60472225
PREBEN HANGAARDS KØRESKOLE V/PREBEN KANSTRUP HANGAARD,21478835
RODES KØRESKOLE V/MORTEN RODE,26153213
TRAFIK OG FØRSTEHJÆLP V/ KASPER LUND,42929125
TRAFIKPARAT APS,60217181
YOUNG DRIVE,31563618
BOULEVARDENS LYS A/S,98241455
BRADICO APS,71992923
DEPOT V/MARGIT BÆK,98174383
GARN & INTERIØR IVS,20870856
MIDTFJORD EL A/S NIBE,98671933
SECA SOLUTIONS AS,88336600
SOFT BY SOPH V/LINE SOFIE,31900708
STESA,61663000
TRÆVAREFABRIKERNES UDSALG,22173538
CENTRUM LÅSE V/PETER NIELSEN,98133633
CERTEGO A/S,98147422
AALBORG HOBBY SERVICE,98121315
AH HOBBY V/ANN MAJBRITT SØRENSEN,20520520
AH HOBBY V/HENRIK CHRISTENSEN,20520520
BOUTIQUE CHOVÉ,22936045
BR AALBORG,87785000
BR SKALBORG,87785000
EPIC PANDA AALBORG,52177540
FISKER ALLAN DYHR,98351242
FJERNSTYRET,46928697
GOLDEN DRAGON,20653110
GUNS N GAMES V/HENRIK D THOMSEN,98770330
GYMPLAY APS,41413050
HOBBYKÆDEN V/KEN ROSA,98176555
ILBJERG FYRVÆRKERI FABRIK APS,97571218
KIDS COOLSHOP AALBORG,98401010
OLES SHOP,25783620
PANDURO HOBBY A/S,98189922
RAYMOND APS,42418489
SELSKABET AF 10/9 2018 APS,70264343
SØRØVERKISTEN,40515779
SPILFORSYNINGEN (BUTIK),30706192
STUPS V/ THOMAS BIRK JENSEN,21445055
VENGEFUL DISTRIBUTION,22870792
AALBORGHUS GYMNASIUM,24441547
AHMAD KACHACH,53810576
ARIA,50315434
BØRGEKOK & KO APS,87322557
CAFE NORSOE,20667276
CATERCORP APS,70107017
CHICAGO ROASTHOUSE AALBORG APS,70100111
DAVID DELIVERYS,71650387
DEN GLADE KOK V/SØREN VIBEHOLM KLINSMANN,25111555
DEN GODE KOK,52521721
EDVINAS GROSS,52906101
EVENT & GASTRONOMI,23358851
FOOD BY SAHL,31126995
FROKOSTEN.NU,40556129
GOURMET DESIGN V/PAULI BECK,61145011
GOURMETERIET,53559793
GRILLEVENT.DK,42155189
INDISK,52228042
ISS FACILITY SERVICES A/S,38171717
JEANETTES CUISINE V/ JEANETTE KAASGAARD,28120907
KECIAS MAD & KAGER APS,24452483
KOGE & KONE V/JESPER NØDDELUND,31990065
KOKKEKONSULENTEN V/RASMUS DAHL SKOVBJERG,25543151
KOMZUSAMMEN,29802938
KØKKEN RISHØJCENTRET,99315500
LARS NOBEL,93896099
LE CHEF V/JENS KVIST SIMONSEN,40797202
LØNSTRUP DINING,28262328
MAACKVÆRK,51529559
MAD MED KÆRLIGHED V/BETINABS,30118586
MARTYS MAD,50995881
MATHIAS LARSEN,51491270
MBK CATERING APS,24441547
MD ALI HAIDER,50173978
MOGENSMADGLAD.DK V/MOGENS FRIMANN,98562868
NEXTDOOR CHEF,40767687
NOWEAT,50381582
OLIVENKRUKKEN,22838501
QUIQUE DELIVERYS,91997380
SADAF CATERING APS,41141235
SIRI HANDY COMPANY,23616222
SPISEBORDET,41589224
WEREDE,71202578
A.R EJENDOMS & TØMRERSERVICE,22268680
AALBORG MALERSERVICE,22402240
AALBORG-NØRRESUNDBY MALERF. APS,22189600
ALLE TIDERS MALER V/ANDERS GRØNKJÆR,98183436
ALLEYEZ/AALBORG,28592616
ANETTE SILKEBORG,42195934
ANTON LASSENS EFTF A/S,98120099
BJØRNS MULTIBYG V/BJØRN SVENNUM,98666167
BNBYG APS,98103522
BOLIG BYG IVS,27772728
BOMHOLT MALERFIRMA APS,31407580
BYENS MALERFIRMA V/PIA JOHANSEN,51743998
C.S.SPARTEL & MALERFIRMA,91199823
DA VINCI PRINT DK I/S,20755428
DJ MALERFIRMA,42224395
DMA RENOVERING IVS,27857103
EBERHARDTS MALERFIRMA V/BO EBERHARDT,61669350
EGHOLM MALERFIRMA APS,98177350
ELITE MALER APS,31391627
FISCHERS MALERFIRMA V/HENRIK FISCHER,20973883
FITNESS MALEREN,31212944
FLEMMING DAHL,60146143
FLEMMINGS MALERFORRETNING V/ FLEMMING HANSEN,98252297
FLEX MONTAGE GUDUMHOLM APS,22341943
FOLDAGERS MALERFIRMA,61603597
GISTRUP MALERFORR V/E KRISTENSEN,98314459
HASSERIS MALEREN,26147095
HEATBLOCK DANMARK APS,71747500
HELENES MALERFORRETNING V/HELENE BILDE BACH,22341945
HJALLERUP MALERSERVICE APS,51929013
HYTTEL OG SØNS EFTF V/BIRGITTE KROGH,98174046
JUSTESEN MALERSERVICE APS,22157949
K. J. MALERFIRMA V/KARSTEN JENSEN,24913418
KAADS MALERSERVICE,31714560
KLARUP MALERFORRETNING V/TOMMY MALGAARD,98317861
KLAUSENS MALERFIRMA,29906551
KM78 IVS,40287372
KOLINDS MALER & RENGØRINGSSERVICE IVS,23416090
KONGERSLEV MALERFORRETNING APS,98331034
KØJNS MALERFIRMA,42222401
KROGHS MALERFIRMA V/JENS AAGE KROGH,86474352
LASSE PALSGREEN APS,56574009
LIMFJORDENS MALERFIRMA,31104332
LUNDBY MALERFORRETNING V/K.NIELSEN,20213015
MALER METTE STRELLNER APS,26924622
MALER XPERTEN,27598827
MALERFIRMA FLEMMING LARSEN,25213269
MALERFIRMA KLC,54626365
MALERFIRMA OVE PEDERSEN & SØN APS,98170158
MALERFIRMAET ALVERDENS FARVER,30494551
MALERFIRMAET BENT PEDERSEN A/S,98169055
MALERFIRMAET BJARNE LARSEN,98134693
MALERFIRMAET BRIAN ANDERSEN,98144815
MALERFIRMAET BRUNO PEDERSEN A/S,98138443
MALERFIRMAET CARSTEN SØRENSEN A/S - ÅLBORG AFD.,98920033
MALERFIRMAET DALAGER BOHNSTEDT V/PEDER TOFTELUND DALAGER BOHNSTEDT,21783242
MALERFIRMAET EVALD SØRENSENS EFTF.,28701817
MALERFIRMAET GADEGAARD A/S,98171600
MALERFIRMAET HENNING SØRENSEN´S EFTF. APS,98352255
MALERFIRMAET JAN JOHANSEN,98254031
MALERFIRMAET KIM RAVNKILDE,20258548
MALERFIRMAET LINDBERG V/DINNA KIRSTINE SMED,28576511
MALERFIRMAET MARTIN JENSEN,42704063
MALERFIRMAET MUNK & NIELSEN APS,40742795
MALERFIRMAET POULSEN & KJELDGAARD I/S,28886936
MALERFIRMAET PREBEN LARSEN´S EFTF. V/KENNETH PEDERSEN,98114577
MALERFIRMAET REGNBUEN APS,98315170
MALERMESTER ALLAN NIELSEN,20627959
MALERMESTER BENDT THOMASEN,98174086
MALERMESTER HELEN KRISTENSEN,27519277
MALERMESTER IBEN GRAM FOLDAGER,40582378
MALERMESTER JOHN PEDERSEN APS,40683222
MALERMESTER JOHNNI BO NIELSEN,98174353
MALERMESTER PER HOUGAARD A/S,98632535
MALERMESTER PETER CARLSEN  APS,98120594
MALERMESTER PETER CARLSEN HOLDING APS,98120594
MALERMESTER POUL ERIK ANDERSEN,20996666
MALERMESTER RIIS,28572756
MALERNES AKTIESELSKAB AALBORG,96342130
MALERSPECIALISTEN I/S,20755428
MAS HOLDING AALBORG A/S,96342130
MUNK S MALERFIRMA,40985656
NB SERVICES,40409759
NICOLAIS MALERFIRMA APS,28350025
NORDJYSK TRÆ APS,98282242
PB MALEREN,51941400
RESTAURANT DEN FODKOLDE,52785130
RIMMEN,20957587
SÆDERUP MALERFIRMA V/BILL ERTNER,98314637
SKAARUP MALERFIRMA A/S,21223993
SKALBORG- VODSKOV MALER-SERVICE V/STEEN MARTIN LARSEN,98291212
SMILEYFACES,50188806
STAE MALEREN,42779784
STAUN MALERFIRMA V/KAJ JØRGENSEN,98355557
STEEN PETERSSON APS,98141485
TORP BYG TOTALLØSNINGER APS,98101797
UTT-BOUET PETER LARSENS MALERFIRMA,28299553
VADUM VILLASERVICE APS,98271748
VEJGAARD MALEREN V/LEA E HORSENS,29602272
VODSKOV MALERFORRETNING APS,98293380
WALL DONE APS,93866096
WIKA SKILTE APS,70235401
WINTHERS MALERSERVICE,26198913
Y.M. MALERFIRMA V/YACOV MENACHEM,21305664
ZEBRA MALERFORRETNING 2014 APS,21451092
AALBORG FARVE OG LAK A/S,98153311
BECK & JØRGENSEN A/S,39530311
C FLAUENSKJOLD A/S,96314700
CARHEAL APS,70255040
DYRUP PROFESSIONAL,39579300
FLÜGGER DENMARK A/S SALGSAFDELING,98120122
GALLERIE AVANTI,98130401
HOU MALERFORRETNING,22416916
JOTUN GROSSISTSALG AALBORG,98125920
KNUD FLAUENSKJOLDS FARVEHANDEL APS,96314700
LAK OG FARVER,25367942
MANDRUP-POULSEN TAPETER APS,96258505
NORDSJÖ FARVER,98189777
PP MESTERMALING SALGSAFDELING,98166010
SCANDINOVA A/S,44501100
SKANCOLOUR NORD,96340242
SOLSIDENS MALER- OG FARVEHANDEL A/S,20821909
AALBORG KROPSTERAPI,22994319
AALBORG MASSØREN I SULSTED,29243070
AALBORG YOGASTUDIO,25130310
AKSON MASSAGE,20260559
ALEXANDER W. SØNDERGAARD,40601010
AMATSU ONEILL,53862112
ANNA NYSOM,25181910
AROY THAI FOOD,98129912
ATHENAHUSET,42832216
AUTOKOMMISSION,50695069
BALANCE YOU THERAPY,42731427
BAN SUAN WELLNESS & THAIMASSAGE,25711536
BIRKS MASSAGETERAPI,60101567
BIRTHE LYKKE JENSEN,60704264
BY NATASCHA ROSENKILDE,31761226
CALM BODY KROPSTERAPI,28781171
CAVO,51880593
CHOTIMA MASSAGE,24614945
DAHLS MASSAGE,31221588
DIVINESTAR BUSINESSES,30488177
DOK KOON THAIMASSAGE,29908999
EJENDOM INVEST NORD V/THOMAS SØRENSEN,96600200
ELA SOL APS,28909739
EMG SOLCENTER APS,98189800
FAMILIE MASSAGE,26229809
FISH LOUNGE V/ JIMMIE THERP,22994319
FIT MED BALANCE,22929225
FIXDINRYG,93961354
FODKLINIK V/VARANYA JANSSON,41822871
FOKUS MASSAGE V/LARS-HENRIK THOMSEN,26855102
FS RELAX,91193833
FYSIOTIME,53306267
FYSIURGISK MASSØR ANNE GATTEN,23862117
FYSKLINIK.DK V/MIKE VINDFELD MØLLER,22144489
GME VELVÆRE,22840970
GODDAG MASSAGE,91950063
HANSEN SERVICE & MASSAGE,93801132
HELLE KIBSGAARD,40757765
HOUSE OF WELLNESS,98163434
J. J. SOL V/ JESPER JØRGENSEN,40446025
JAARASTHIP THAI MASSAGE,91857788
JH SOL V/ JOHN HESSELLUND,22344901
KOBBERØS FYSIURGISK MASSAGE V/TRINE BRUHN KOBBERØ,28768367
KROMANN COACHING I/S,60162217
LUXURA SUN I/S,26186927
M.M. HEALTHY LIVING,30277254
MAGIC HANDS,30346292
MALEE THAI MASSAGE,52224022
MASSAGE & VELVÆRE,21471994
MIEYOGA&MASSAGE,42418221
MTY INVEST APS,50697072
NANAKINS,20232677
NATURTERAPI PERSONLIG TRÆNING OG KOSTVEJLEDNING V/SUSANNE NILSEN,51222247
NOI MASSAGE,98255134
NORDJYSK EJENDOMSSERVICE APS,70208896
PENTABASE AALBORG,36969496
PHO THONG TRADITIONAL THAI MASSAGE& WELLNESS,60211969
PHYSIOATHLETICS,25489290
POSITIV FORANDRING,21223141
PROFESSIONEL TERAPI MASSAGE,20904414
REIF INSTITUTTET APS,21415189
RELAX MASSAGE V/ JINTANA PEDERSEN,42308850
REZULTS V/PATRICIA OTTZEN,61732071
SANNE MARIE YOGA,41600079
SAYANS TRADIONELLE THAI MASSAGE,91953434
SAYANS TRADITIONELLE THAI MASSAGE,91111519
SIAM THAI MASSAGE,91156235
SIZE OF FREEDOM V/FRANK SECHER,40978310
SPORTS MASSAGE V/ORMJAI SAMPHA,25614295
STAR ORCHID,28562199
STEN LASSEN HOLDING APS,40576088
SUN4YOU DANMARK,25232323
SUN4YOU V/MICHAEL ANDREASEN,25232323
SVL SPORTSTERAPI,23300091
SWEET DRAGON MASSAGE,26240864
SWEETDRAGONMASSAGE,26240864
TEAM LIMITLESS I/S,26747413
THAI ORKIDE MASSAGE & WELLNESS,40892085
THAI-WELLNESS-GISTRUP,42761478
TIK MASSAGE,60669380
UDELIV,40597029
VALENTIN BRANDS APS,96343511
VEJGAARD SOL,50353010
VINDFELD MASSAGE,30724491
VIVA CONSULT,40634446
WAT PHO THAI MASSAGE V/SUNAN KHUNBURAN,96300901
WELLNESS OG VELVÆRE,22619474
YUPHIN PHAKPHIANDEE JENSEN,22263650
YVONNE MILLER YOGA,51923602
ZHENG QI IVS,40480187
BULEGÅRDEN APS,98178244
HMC MOTORCYKLER,98407779
IMPORT MC V/MORTEN WINTHER,98269490
MC COSMETIC,51507457
MC IMPORT KØB OG SALG,20926763
MC SØREN H VILLADSEN,26748732
MOTORGÅRDEN SVENSTRUP A/S,98383947
PESKO TRADING APS,22277666
PORT 6 APS,98193535
SPECIAL MOTORCYKLER APS,98127110
TEJ SERVICE S.M.B.A.,20836032
TOPHUS MOTORCYKELPLEJE,60651909
BOLIA ÅLBORG,70270031
BRUNO SØRENSEN MØBLER APS,98351022
BRUUN HANSEN IVS,22249065
CADEYE/FERCHLAND AGNAR LISBERG FERCHLAND,23263010
CANE CULTURE LIVING IVS,40594070
DANSKMØBELDESIGN,28446131
DERES ØNSKE MØBLER V/BENT JENSEN,98144147
ENTRÉ LIVING BY BRDR. SØRENSEN MØBLER A/S,86201021
FDB MØBLER ÅLBORG,43864386
GADES MØBELCENTER AF 1999 A/S,98185566
HOBROVEJ 355 /LEIF ANDERSEN,98314956
HØGH INTERIEUR,98128924
HØGH MØBLER V/LARS HØGH PEDERSEN,98128944
IDDESIGN A/S,89416109
IKEA A/S,70150909
ILVA A/S AALBORG,88183520
ILVA A/S AALBORG SV,88183550
MOLGAARD MOBLER,20814669
MØBEL SALG APS,23439523
MY HOME ÅLBORG,72220280
MYFLAT,52905407
RUMAS APS,98181155
SKAGERAK DENMARK A/S,99525200
SØNDERUP BOLIGMONTERING A/S,98653144
ULF BOLIGHUS A/S,98184900
UNOWOOD IVS,28609910
VODSKOV BOLIGHUS A/S,98293188
2 C EJENDOMSSERVICE V/MADS CHRISTENSEN,40639470
A.M. MURERN,60531429
AAK V/KHALED ALI ALAHMAD,91406026
AALBORG MURER SERVICE,30203240
ANPARTSSELSKABET AF 28.02.19,20935077
BENT ELKJÆR & SØNNER A/S,98343879
BIRGER PEDERSEN,98956222
BYGGEFIRMAET LAUTRUP & LYNGSØ APS,60157572
BYGMESTER/GÅRDEJER SVEND A NYBORG PILEGÅRDEN,98242485
CGH BYG V/ CHRISTIAN GRAULUND HANSEN,53636057
DANSK FACADERENOVERING APS,21397140
DENNIS DAUGAARD HOLDING APS,61692150
E&P MURERFORRETNING APS,57616000
ENGHOLM BYG APS,51274349
FARSTRUP MURER FORRETNING,26809503
FH BYG,60134365
FH-BYG V/FREDERIK HEDE,60134365
FUN BYG APS,98326900
GANDRUP MURERMESTER FORRETNING APS,40969564
GJØL MURERFORRETNING APS,40502801
HANSEN-BYG V/THOMAS HANSEN,22140087
HELGE BEJSTRUP NIELSEN,98172984
HS BYG V/HENRIK SØRENSEN,20468938
HVIDBERG BYG APS,42959687
JAN DAM A/S,98189897
JJ MURERFIRMA APS,98257003
JLBYG,26133978
KHJ-KLINKER APS,40288917
KLARUP MURERFORRETNING APS,98318124
KLOAKMESTER ERIK ANDERSEN APS,40441451
KT BYG AALBORG IVS,20950022
LANDMAND LARS WINTHER,98686469
LANGHOFF BYG V/NIELS LANGHOFF,26153544
LEBA BYG,91992599
LEIF OLESEN & SØNNER APS,98158490
LG-BYG APS,29866190
M.D.E BYG,26777606
